,gender,year,education,value,se
27,female,2003,total,31570,85
291,female,2003,total_high_edu,45120,291
248,female,2004,AA,33480,489
336,female,2004,Bachelor,41680,172
160,female,2004,High school,26030,116
72,female,2004,Less than 9th grade,17020,241
468,female,2004,doctor,68880,2450
380,female,2004,master,51320,263
424,female,2004,professional,75040,2436
204,female,2004,some_college,30820,135
116,female,2004,some_high,19160,319
28,female,2004,total,31990,80
292,female,2004,total_high_edu,45910,229
249,female,2005,AA,33940,497
337,female,2005,Bachelor,42170,179
161,female,2005,High school,26290,134
73,female,2005,Less than 9th grade,16140,250
469,female,2005,doctor,66850,2490
381,female,2005,master,51410,283
425,female,2005,professional,80460,2774
205,female,2005,some_college,31400,165
117,female,2005,some_high,20130,274
29,female,2005,total,33080,242
293,female,2005,total_high_edu,46950,232
250,female,2006,AA,35160,376
338,female,2006,Bachelor,45410,259
162,female,2006,High school,26740,136
74,female,2006,Less than 9th grade,18130,408
470,female,2006,doctor,70520,1779
382,female,2006,master,52440,561
426,female,2006,professional,76240,2488
206,female,2006,some_college,31950,165
118,female,2006,some_high,20130,270
30,female,2006,total,35100,113
294,female,2006,total_high_edu,49570,441
251,female,2007,AA,36330,283
339,female,2007,Bachelor,45770,262
163,female,2007,High school,27240,133
75,female,2007,Less than 9th grade,18260,461
471,female,2007,doctor,68990,2155
383,female,2007,master,55430,412
427,female,2007,professional,71100,910
207,female,2007,some_college,32840,415
119,female,2007,some_high,20400,292
31,female,2007,total,36090,105
295,female,2007,total_high_edu,50400,158
252,female,2008,AA,36760,243
340,female,2008,Bachelor,47030,237
164,female,2008,High school,28380,283
76,female,2008,Less than 9th grade,18630,494
472,female,2008,doctor,74030,2144
384,female,2008,master,57510,745
428,female,2008,professional,71300,2859
208,female,2008,some_college,32630,355
120,female,2008,some_high,20410,295
32,female,2008,total,36700,109
296,female,2008,total_high_edu,51410,145
253,female,2009,AA,37270,310
341,female,2009,Bachelor,46830,260
165,female,2009,High school,29150,273
77,female,2009,Less than 9th grade,18480,451
473,female,2009,doctor,76580,912
385,female,2009,master,61070,304
429,female,2009,professional,83910,3210
209,female,2009,some_college,34090,483
121,female,2009,some_high,21230,301
33,female,2009,total,37260,107
297,female,2009,total_high_edu,51880,169
254,female,2010,AA,37770,588
342,female,2010,Bachelor,47440,336
166,female,2010,High school,29860,260
78,female,2010,Less than 9th grade,18240,592
474,female,2010,doctor,77390,2174
386,female,2010,master,59100,1021
430,female,2010,professional,76740,2723
210,female,2010,some_college,33400,410
122,female,2010,some_high,20880,334
34,female,2010,total,38290,272
298,female,2010,total_high_edu,51940,159
255,female,2011,AA,39290,40
343,female,2011,Bachelor,49110,103
167,female,2011,High school,30010,145
79,female,2011,Less than 9th grade,20100,250
475,female,2011,doctor,77460,21
387,female,2011,master,60300,533
431,female,2011,professional,80720,135
211,female,2011,some_college,34590,512
123,female,2011,some_high,21110,131
35,female,2011,total,38910,216
299,female,2011,total_high_edu,52140,88
256,female,2012,AA,37320,455
344,female,2012,Bachelor,50170,290
168,female,2012,High school,30410,165
80,female,2012,Less than 9th grade,20060,514
476,female,2012,doctor,77900,3616
388,female,2012,master,60930,464
432,female,2012,professional,94470,6655
212,female,2012,some_college,35060,452
124,female,2012,some_high,21390,285
36,female,2012,total,39980,294
300,female,2012,total_high_edu,53690,888
257,female,2013,AA,37700,751
345,female,2013,Bachelor,50750,341
169,female,2013,High school,30800,173
81,female,2013,Less than 9th grade,19840,502
